#Frame                com          pep          pro         bind
      4.5100       2.6661       1.9822       2.6311       1.9495
      4.5200       2.6705       2.0544       2.6467       1.9459
      4.5300       2.6679       1.9231       2.6226       1.9232
      4.5400       2.8018       2.0633       2.7536       2.0460
      4.5500       2.8659       1.9720       2.8374       2.0583
      4.5600       2.7960       1.9009       2.7665       1.9985
      4.5700       2.8128       2.0799       2.7624       2.0809
      4.5800       2.9239       1.9554       2.8962       2.1031
      4.5900       2.8779       1.8787       2.8389       2.1117
      4.6000       2.7627       1.7211       2.7393       1.9762
      4.6100       2.7467       1.7871       2.7348       1.9256
      4.6200       2.7514       1.7162       2.7353       1.9634
      4.6300       2.8804       1.8332       2.8678       2.0920
      4.6400       2.7577       1.8444       2.7387       1.9554
      4.6500       2.8327       1.9058       2.7949       2.0390
      4.6600       2.7240       1.8434       2.6818       2.0507
      4.6700       2.7373       1.6260       2.7145       1.9682
      4.6800       2.6272       1.7221       2.6018       1.9749
      4.6900       2.6512       1.7968       2.6243       1.8969
      4.7000       2.7637       1.7965       2.7487       1.9956
      4.7100       2.8073       1.7992       2.7842       2.1304
      4.7200       2.7614       1.7559       2.7447       2.0825
      4.7300       2.7036       1.6749       2.7009       1.9412
      4.7400       2.7708       1.7525       2.7782       1.9538
      4.7500       2.7667       1.8682       2.7649       1.9904
      4.7600       2.7655       1.7435       2.7691       1.9739
      4.7700       2.7778       1.7053       2.7767       1.9555
      4.7800       2.7973       1.8376       2.7752       2.0646
      4.7900       2.7707       1.7693       2.7590       2.0238
      4.8000       2.7099       1.7955       2.7002       2.0168
      4.8100       2.7724       1.6992       2.7822       1.9838
      4.8200       2.7842       1.6863       2.7818       2.0082
      4.8300       2.8143       1.6879       2.8168       1.9564
      4.8400       2.7703       1.7628       2.7715       2.0260
      4.8500       2.8170       1.5755       2.8294       1.9495
      4.8600       2.7779       1.5940       2.7808       1.9757
      4.8700       2.8772       1.6841       2.8789       2.0293
      4.8800       2.7480       1.6349       2.7490       1.9092
      4.8900       2.7401       1.5809       2.7482       1.9411
      4.9000       2.8840       1.6310       2.8800       2.0120
      4.9100       2.7672       1.7029       2.7637       2.0284
      4.9200       2.5988       1.6451       2.5967       1.9053
      4.9300       2.7137       1.5825       2.7304       1.9508
      4.9400       2.7059       1.5937       2.7135       2.0079
      4.9500       2.7115       1.6783       2.7078       2.0021
      4.9600       2.6189       1.6413       2.6143       1.8877
      4.9700       2.6919       1.6546       2.6963       1.9076
      4.9800       2.6177       1.5426       2.6153       1.8676
      4.9900       2.6619       1.6537       2.6662       1.9234
      5.0000       2.7516       1.6459       2.7523       1.9172
      5.0100       2.7191       1.7111       2.7088       1.9525
      5.0200       2.6321       1.5997       2.6247       1.8641
      5.0300       2.5631       1.7052       2.5526       1.8612
      5.0400       2.6788       1.6703       2.6686       1.8971
      5.0500       2.6979       1.7403       2.6858       1.9556
      5.0600       2.5488       1.7336       2.5405       1.8030
      5.0700       2.7218       1.7502       2.7273       1.9158
      5.0800       2.6106       1.7511       2.6244       1.8045
      5.0900       2.6815       1.7064       2.6935       1.8700
      5.1000       2.6599       1.6218       2.6633       1.7944
      5.1100       2.6219       1.7322       2.6188       1.9240
      5.1200       2.7009       1.5898       2.7025       1.9084
      5.1300       2.5873       1.5955       2.5815       1.8855
      5.1400       2.6236       1.5732       2.6245       1.8990
      5.1500       2.6708       1.4888       2.6945       1.8507
      5.1600       2.5965       1.6565       2.5940       1.9035
      5.1700       2.5831       1.7255       2.5734       1.8710
